----------------------------------------------------------------------------------------------
GENESIS
----------------------------------------------------------------------------------------------

CHAPTER 1
Ge 1:1	In da beginning, God created da heavens n da earth--
Ge 6:12	And God saw da earth, n look, 'twas corrupt, 4 all flesh had corrupted its wae on da earth.
Ge 6:13	And God said 2 Noah, "Da end of all flesh haz come b4 me, 4 da earth wuz filled w violence cuz of them. Now, look, im goin’ 2 destroy them along w da earth.
Ge 6:14	Make 4 yoself an ark of cypress wood; u must make da ark w rooms, then u must cover it w pitch, inside n outside.
Ge 6:15	And dis is how u must make it: da length of da ark, 3 hundred cubits; its width fifty cubits; its height, thirty cubits.
Ge 6:16	U must make a roof 4 da ark, n finish it 2 a cubit above. And as 4 da door of da ark, u must put it in its side. U must make it w a lower, 2nd, n a 3rd deck. 

Ge 6:17	And i, look, im 'bout 2 bring da flood waters over da earth 2 destroy all flesh in which is da breath of lyf from under da heaven; everythin’ dat’s on da earth will die.
Ge 6:18	And i’ll establish my covenant w u, n u must go into da ark--u, n yo sons, n yo wife, n da wives of yo sons w u.
Ge 6:19	And of every livin’ thang, from all flesh, u must bring 2 from every kind into da ark 2 keep them alive w u; they’ll be male n female.
Ge 6:20	From da birbs accordin’ 2 their kind, n from da animals accordin’ 2 their kind, from every creeping thang on da ground accordin’ 2 its kind--2 from every kind will come 2 u 2 keep them alive.
Ge 6:21	And as 4 u, take 4 yoself from every kind of food dat’s eaten. And u must gather it 2 yoself. And it’ll be 4 u n 4 them 4 food."
Ge 6:22	And Noah did accordin’ 2 all dat God commanded him; so he did. 


CHAPTER 7
Ge 7	
Ge 7:1	Then YHWH said 2 Noah, "Go--u n all yo household--into da ark, cuz i’ve seen u r gud b4 me in dis generation.
Ge 7:2	From all da clean animals u must take 4 yoself 7 pairs, a male n its m8. And from da animals dat aren’t clean u must take 2, a male n its m8,
Ge 7:3	as well as from da birbs of heaven 7 pairs, male n female, 2 keep their kind alive on da face of da earth.
Ge 7:4	Cuz within 7 days i’ll send rain on da earth 4 forty days n forty nights. And i’ll blot out all da livin’ creatures dat i’ve made from on da face of da ground."
Ge 7:5	And Noah did accordin’ 2 all dat YHWH commanded him. 

Ge 7:6	Noah wuz 6 hundred yrs old when da flood waters came on da earth.
Ge 7:7	And Noah n his sons n his wife, n da wives of his sons w him, went into da ark cuz of da waters of da flood.
Ge 7:8	Of clean animals, n of animals which aren’t clean, n of da birbs, n everythin’ dat creeps on da ground,
Ge 7:9	2 of each went 2 Noah, into da ark, male n female, as God had commanded Noah.
Ge 7:10	And it happened dat after 7 days da waters of da flood came over da earth.
Ge 7:11	In da 6 hundredth yr of da lyf of Noah, in da 2nd month, on da 17th day of da month--on dat day all da springs of da great deep were split open, n da windows of heaven were opened.
Ge 7:12	And da rain came on da earth forty days n forty nights.
Ge 7:13	On dis same day, Noah, Shem, Ham, n Japheth, da sons of Noah, n da wife of Noah n da 3 wives of his sons w them, went into da ark,
Ge 7:14	they n all da livin’ creatures accordin’ 2 their kind, n all da domesticated animals accordin’ 2 their kind, n all da creatures dat creep on da earth accordin’ 2 their kind, all da birbs accordin’ 2 their kind, every winged creature.
Ge 7:15	And they came 2 Noah 2 da ark, 2 of each, from every livin’ thang in which wuz da breath of lyf.
Ge 7:16	And those dat came, male n female, of every livin’ thang, came as God had commanded him. And YHWH shut da door behind him.
Ge 7:17	And da flood came forty days n forty nights on da earth. And da waters increased, n lifted da ark, n it rose up from da earth.
Ge 7:18	And da waters prevailed n increased greatly on da earth. And da ark went on da surface of da waters.
Ge 7:19	And da waters prevailed overwhelmingly on da earth, n they covered all da high mountains which were under da entire heaven.
Ge 7:20	Da waters swelled 15 cubits above da mountains, covering them.
Ge 7:21	And every livin’ thang dat moved on da earth died--da birbs, n da domesticated animals, n da wild animals, n everythin’ dat swarmed on da earth, n all humankind.
Ge 7:22	Everythin’ in whose nostrils wuz da breath of lyf, among all dat wuz on dry land, died.
Ge 7:23	And he blotted out every livin’ thang on da surface of da ground, from humankind, 2 animals, 2 creeping tingz, n 2 da birbs of heaven; they were blotted out from da earth. Only Noah n those who were w him in da ark remained.
Ge 7:24	And da waters prevailed over da earth 1 hundred n fifty days. 


CHAPTER 8
Ge 8:1	And God remembered Noah n all da wild animals, n all da domesticated animals dat were w him in da ark. And God caused a wind 2 blow over da earth, n da waters subsided.
Ge 8:2	And da fountains of da deep n da windows of da heavens were closed, n da rain from da heavens wuz restrained.
Ge 8:3	And da waters receded from da earth gradually, n da waters stopped at da end of 1 hundred n fifty days.
Ge 8:4	And da ark came 2 rest in da 7th month, on da 17th day of da month, on da mountains of Ararat.
Ge 8:5	And da waters continued 2 recede 2 da 10th month; in da 10th month, on da 1st of da month, da tops of da mountains appeared.
Ge 8:6	And it happened dat at da end of forty days Noah opened da window of da ark dat he had made.
Ge 8:7	And he sent out a raven; it went 2 n fro until da waters were dried up from on da earth.
Ge 8:8	And he sent out a dove 2 c whether da waters had subsided from on da ground.
Ge 8:9	But da dove didn't find a resting place 4 da sole of her foot, n she returned 2 him into da ark, 4 da waters were still on da face of da earth. And he stretched out his hand n took her, n brought her 2 himself into da ark.
Ge 8:10	And he waited anotha 7 days, n again he sent out da dove from da ark.
Ge 8:11	And da dove came 2 him in da evening, n look, a freshly-picked olive tree leaf wuz in her mouth. And Noah knew dat da waters had subsided from on da earth.
Ge 8:12	And he waited 7 more days, n he sent out da dove. But it didn't return again 2 him.
Ge 8:13	And it happened dat, in da 6 hundred n 1st yr, in da 1st month, on da 1st day of da month, da waters dried up from on da earth. And Noah removed da covering of da ark n looked. And look, da face of da ground wuz dried up.
Ge 8:14	And in da 2nd month, on da 20-7th day of da month, da earth wuz dry.
Ge 8:15	And God spoke 2 Noah, sayin’:
Ge 8:16	"Go out from da ark, u n yo wife, n yo sons, n yo sons' wives w u.
Ge 8:17	Bring out w u all da livin’ tingz which r w u, from all da livin’ creatures--birbs, n animals, n everythin’ dat creeps on da earth, n let them swarm on da earth n be fruitful n multiply on da earth."
Ge 8:18	So Noah went out, w his sons n his wife, n da wives of his sons w him.
Ge 8:19	Every animal, every creeping thang, n every birb, n everythin’ dat moves on da earth, accordin’ 2 its fams, went out from da ark.
Ge 8:20	And Noah built an altar 2 YHWH, n he took from all da clean animals n from all da clean birbs, n offered burnt offerings on da altar.
Ge 8:21	And YHWH smelled da soothing fragrance, n YHWH said 2 himself, "Never again will i curse da ground 4 da sake of humankind, cuz da inclination of da heart of humankind is bad from his youth. Nor will i ever again destroy all lyf as i’ve done.
Ge 8:22	As long as da earth endures, seed n harvest, cold n heat, summer n winter, day n night won’t cease. 


CHAPTER 9
Ge 9:1	And God blessed Noah n his sons, n said 2 them, "Be fruitful n multiply, n fill da earth.
Ge 9:2	And fear of u n dread of u will be on every animal of da earth, n on every birb of heaven, n on everythin’ dat moves on da ground, n on all da fish of da sea. Into yo hand they’ll be given.
Ge 9:3	Every moving thang dat lives will be 4 u as food. As i gave da green plants 2 u, i’ve now given u everythin’.
Ge 9:4	Only u will not eat raw flesh w blood in it.
Ge 9:5	And yo lifeblood i’ll require; from every animal i’ll require it. And from da hand of humankind, from da hand of each man 2 his bro i’ll require da lyf of humankind. 

Ge 9:6	"As 4 da 1 shedding da blood of humankind, by humankind his blood will be shed, 4 God made humankind in his own image.

Ge 9:7	"And u, be fruitful n multiply, swarm on da earth n multiply in it."
Ge 9:8	And God said 2 Noah n 2 his sons w him,
Ge 9:9	"As 4 me, look, im establishing my covenant w u n w yo seed after u,
Ge 9:10	n w every livin’ creature dat’s w u--da birbs, da animals, n every animal of da earth w u, from all dat came out of da ark 2 all da animals of da earth.
Ge 9:11	im establishing my covenant w u, dat never again will all flesh be cut off by da waters of a flood, nor will there ever be a flood dat destroys da earth."
Ge 9:12	And God said, "Dis is da sign of da covenant dat im making between me n u, n between every livin’ creature dat’s w u 4 future gens.
Ge 9:13	My bow i’ve set in da clouds, n it’ll be 4 a sign of da covenant between me n between da earth.
Ge 9:14	And when i make clouds appear over da earth da bow will be seen in da clouds.
Ge 9:15	Then i’ll remember my covenant dat’s between me n u, n between every livin’ creature, w all flesh. And da waters of a flood will never again cause da destruction of all flesh.
Ge 9:16	Da bow will be in da clouds, n i’ll c it, so as 2 remember da everlasting covenant between God n between every livin’ creature, w all flesh dat’s on da earth."
Ge 9:17	And God said 2 Noah, "Dis is da sign of da covenant which im establishing between me n all flesh dat’s on da earth. 

Ge 9:18	Now da sons of Noah who came out of da ark were Shem, Ham, n Japheth. (Ham wuz da dad of Canaan.)
Ge 9:19	Deez 3 were da sons of Noah, n from deez da whole earth wuz populated.
Ge 9:20	And Noah began 2 be a man of da ground, n he planted a vineyard.
Ge 9:21	And he drank some of da wine n became drunk, n he exposed himself in da midst of his tent.
Ge 9:22	And Ham, da dad of Canaan, saw da nakedness of his dad, n he told his 2 bros outside.
Ge 9:23	Then Shem n Japheth took a garment, n da 2 of them put it on their shoulders n, walking backward, they covered da nakedness of their dad. And their faces were turned backward, so dat they didn't c da nakedness of their dad.
Ge 9:24	Then Noah awoke from his drunkenness, n he knew wut his youngest son had done 2 him.
Ge 9:25	And he said, 
 "Cursed be Canaan, a slave of slaves he’ll be 2 his bros."

Ge 9:26	Then he said, 
 "Blessed be YHWH, da God of Shem, n let Canaan be a slave 2 them.
Ge 9:27	May God make space 4 Japheth, n let him dwell in da tents of Shem, n let Canaan be a slave 4 him."

Ge 9:28	And Noah lived 3 hundred n fifty yrs after da flood.
Ge 9:29	And all da days of Noah were 9 hundred n fifty yrs, n he died. 


CHAPTER 10
Ge 10:1	Deez r da gens of da sons of Noah--Shem, Ham, n Japheth. Kids were born 2 them after da flood.
Ge 10:2	Da sons of Japheth: Gomer, Magog, Madai, Javan, Tubal, Meshech, n Tiras.
Ge 10:3	And da sons of Gomer: Ashkenaz, Riphath, n Togarmah.
Ge 10:4	And da sons of Javan: Elishah, Tarshish, Kittim, n Dodanim.
Ge 10:5	From deez da coastland peoples spread out thru their lands, each accordin’ 2 his own language by their own fams, in their nations. 

Ge 10:6	And da sons of Ham: Cush, Egypt, Put, n Canaan.
Ge 10:7	And da sons of Cush: Seba, Havilah, Sabtah, Raamah, n Sabteca. Da sons of Raamah: Sheba n Dedan.
Ge 10:8	And Cush fathered Nimrod. He wuz da 1st on earth 2 be a mighty warrior.
Ge 10:9	He wuz a mighty hunter b4 YHWH. So 'twas said, "Like Nimrod a mighty hunter b4 YHWH."
Ge 10:10	Now, da beginning of his kingdom wuz Babel, Erech, Akkad, n Calneh, in da land of Shinar.
Ge 10:11	From dat land he went out 2 Assyria, n he built Nineveh, Rehoboth-Ir, Calah,
Ge 10:12	Resen between Nineveh n Calah; dat’s da great city.
Ge 10:13	And Egypt fathered Ludim, Anamim, Lehabim, Naphtuhim,
Ge 10:14	Pathrusim, n Casluhim (from whom da Philistines came), n Caphtorim. 

Ge 10:15	Canaan fathered Sidon, his firstborn, n Heth,
Ge 10:16	n da Jebusites, da Amorites, da Girgashites,
Ge 10:17	da Hivites, da Arkites, da Sinites,
Ge 10:18	da Arvadites, da Zemarites, n da Hamathites. Afterward da fams of da Canaanites were spread abroad.
Ge 10:19	And da territory of da Canaanites wuz from Sidon in da direction of Gerar as far as Gaza, n in da direction of Sodom, Gomorrah, Admah, n Zeboiim, as far as Lasha.
Ge 10:20	Deez r da descendants of Ham, accordin’ 2 their fams n their languages, in their lands, n in their nations. 

Ge 10:21	And 2 Shem, da dad of all da kids of Eber, da older bro of Japheth, kids were also born.
Ge 10:22	Da sons of Shem: Elam, Asshur, Arphaxad, Lud, n Aram.
Ge 10:23	And da sons of Aram: Uz, Hul, Gether, n Mash.
Ge 10:24	And Arphaxad fathered Shelah, n Shelah fathered Eber.
