----------------------------------------------------------------------------------------------
JOHN
----------------------------------------------------------------------------------------------

CHAPTER 1
Jn 1:1	In da beginning wuz da Word, n da Word wuz w God, n da Word wuz God.
Jn 3:20	Cuz e’erybody who practices bad hates da light n doesn't come 2 da light, lest his deeds be exposed.
Jn 3:21	But da 1 who practices da truth comes 2 da light, so dat his deeds may be revealed, dat they’re done in God. 

Jn 3:22	After deez tingz Jesus n his homeboys came into Judean territory, n there he spent time w them n wuz baptizin’.
Jn 3:23	Now Johnny wuz also baptizin’ at Aenon near Salim, cuz water wuz plentiful there, n they were comin’ n were bein’ baptized.
Jn 3:24	(Cuz Johnny hadn't yet been yeeted into prison.) 

Jn 3:25	So a dispute occurred on da part of Johnny's homeboys w a Jew abt purification.
Jn 3:26	And they came 2 Johnny n said 2 him, "Rabbi, he who wuz w u on da other side of da Jordan, 'bout whom u testified--look, dis 1 is baptizin’, n all r comin’ 2 him!" 

Jn 3:27	Johnny answered n said, "A man can get not 1 thang unless it’s granted 2 him from heaven!
Jn 3:28	U yoselves testify 'bout me dat i said, 'i ain’t da Christ, but im sent b4 dat 1.'
Jn 3:29	Da 1 who haz da bride is da bridegroom. But da friend of da bridegroom, who stands n hears him, rejoices greatly cuz of da bridegroom's voice. So dis happiness of mine is complete.
Jn 3:30	It’s necessary 4 dat 1 2 increase, but 4 me 2 decrease." 

Jn 3:31	Da 1 who comes from above is over all. Da 1 who is from da earth is from da earth n speaks from da earth; da 1 who comes from heaven is over all.
Jn 3:32	Wut he’s seen n heard, dis he testifies, n nobody accepts his testimony.
Jn 3:33	Da 1 who accepts his testimony haz attested dat God is tru.
Jn 3:34	Cuz da 1 whom God sent speaks da words of God, 4 he doesn't give da Spirit by measure.
Jn 3:35	Da Dad luvs da Son n haz given all tingz into his hand.
Jn 3:36	Da 1 who believes in da Son haz lyf 4ever, but da 1 who disobeys da Son won’t c lyf--but da wrath of God remains on him. 


CHAPTER 4
Jn 4:1	Now when Jesus knew dat da Pharisees had heard dat Jesus wuz making n baptizin’ more homeboys than Johnny
Jn 4:2	(even tho Jesus himself wasn’t baptizin’, but his homeboys),
Jn 4:3	he left Judea n departed again 4 Galilee.
Jn 4:4	And 'twas necessary 4 him 2 go thru Samaria. 

Jn 4:5	Now he came 2 a town of Samaria called Sychar, near da piece of land dat Jake had given 2 his son Joey.
Jn 4:6	And Jake's well wuz there, so Jesus, cuz he had become tired from da journey, simply sat down at da well. It wuz 'bout da 6th hr. 

Jn 4:7	A woman of Samaria came 2 draw water. Jesus said 2 her, "Give me water 2 drink."
Jn 4:8	(Cuz his homies had gone away into da town so dat they could buy food.)
Jn 4:9	So da Samaritan woman said 2 him, "How do u, bein’ a Jew, ask from me water 2 drink, since im a Samaritan woman?" (Cuz Jews hav no dealings w Samaritans.) 

Jn 4:10	Jesus answered n said 2 her, "If u had known da gift of God n who it’s who says 2 u, 'Give me water 2 drink,' u would’ve asked him, n he’d hav given u livin’ water."
Jn 4:11	Da woman said 2 him, "Sir, u hav no bucket n da well is deep! From where then do u get dis livin’ water?
Jn 4:12	U aren’t better than our dad Jake, r u, who gave us da well n drank from it himself, n his sons n his livestock?" 

Jn 4:13	Jesus answered n said 2 her, "E’erybody who drinks of dis water gonna be thirsty again.
Jn 4:14	But whoever drinks of dis water which i’ll give 2 him will never be thirsty 4 eternity, but da water which i’ll give 2 him will become in him a well of water springing up 2 lyf 4ever."
Jn 4:15	Da woman said 2 him, "Sir, gimme dis water, so dat i’ll not be thirsty or come here 2 draw water!"
Jn 4:16	He said 2 her, "Go, call yo husband n come here."
Jn 4:17	Da woman answered n said 2 him, "i don’t hav a husband." Jesus said 2 her, "U hav said rightly, 'i don’t hav a husband,'
Jn 4:18	4 u hav had 5 husbands, n da 1 whom u hav now isn’t yo husband; dis u hav said truthfully!" 

Jn 4:19	Da woman said 2 him, "Sir, i c dat u r a prophet.
Jn 4:20	Our dads worshiped on dis mountain, n u ppl say dat in Jerusalem is da place where it’s necessary 2 worship."
Jn 4:21	Jesus said 2 her, "Believe me, woman, dat an hr is comin’ when neither on dis mountain nor in Jerusalem will u worship da Dad.
Jn 4:22	U worship wut u dunno. We worship wut we kno, cuz salvation is from da Jews.
Jn 4:23	But an hr is comin’--n now is here--when da tru worshipers will worship da Dad in spirit n truth, 4 indeed da Dad seeks such ppl 2 be his worshipers.
Jn 4:24	God is spirit, n da ones who worship him must worship in spirit n truth."
Jn 4:25	Da woman said 2 him, "i kno dat Messiah is comin’" (da 1 called Christ); "whenever dat 1 comes, he’ll proclaim all tingz 2 us."
Jn 4:26	Jesus said 2 her, "i, da 1 talkin’ 2 u, am he. 

Jn 4:27	And at dis point his homeboys came, n they were shook dat he wuz talkin’ w a woman. However, nobody said, "Wut do u seek?" or "Y r u talkin’ w her?"
Jn 4:28	So da woman left her water jar n went away into da town n said 2 da ppl,
Jn 4:29	"Come, c a man who told me everythin’ i’ve ever done! Maybe dis 1 is da Christ?"
Jn 4:30	They went out from da town n were comin’ 2 him. 

Jn 4:31	In da meanwhile da homies were asking him, sayin’, "Rabbi, eat somethin’!"
Jn 4:32	But he said 2 them, "i’ve food 2 eat dat u dunno 'bout."
Jn 4:33	So da homeboys began 2 tell 1 anotha, "No 1 brought him anythin’ 2 eat, did they?"
Jn 4:34	Jesus said 2 them, "My food is dat i do da will of da 1 who sent me n complete his work.
Jn 4:35	Do u not say, 'There r yet 4 months n da harvest comes'? Look, i tell u, lift up yo eyes n look at da fields, dat they’re white 4 harvest already.
Jn 4:36	Da 1 who reaps receives wages n gathers fruit 4 lyf 4ever, so dat da 1 who sows n da 1 who reaps can rejoice together.
Jn 4:37	Cuz in dis instance da sayin’ is tru, 'It’s 1 who sows n anotha who reaps.'
Jn 4:38	i sent u 2 reap wut u didn't work 4; others hav worked, n u hav entered into their work." 

Jn 4:39	Now from dat town many of da Samaritans believed in him cuz of da word of da woman who testified, "He told me everythin’ dat i’ve done."
Jn 4:40	So when da Samaritans came 2 him, they began asking him 2 stay w them. And he stayed there 2 days.
Jn 4:41	And many more believed cuz of his word,
Jn 4:42	And they were sayin’ 2 da woman, "No longer cuz of wut u said do we believe, 4 we ourselves hav heard, n we kno dat dis 1 is fr da Savior of da world!" 

Jn 4:43	And after da 2 days he departed from there into Galilee.
Jn 4:44	Cuz Jesus himself testified dat a prophet haz no honor in his own homeland.
Jn 4:45	So when he came 2 Galilee, da Galileans welcomed him, cuz they had seen all da tingz he had done in Jerusalem at da feast (4 they themselves had also come 2 da feast). 

Jn 4:46	Now he came again 2 Cana in Galilee, where he had made da water wine. And there wuz at Capernaum a certain royal official whose son wuz sick.
Jn 4:47	Dis man, when he heard dat Jesus had come from Judea into Galilee, went 2 him n asked dat he come down n heal his son, 4 he wuz 'bout 2 die.
Jn 4:48	So Jesus said 2 him, "Unless u ppl c signs n wonders, u will never believe!"
Jn 4:49	Da royal official said 2 him, "Sir, come down b4 my kid dies!"
Jn 4:50	Jesus said 2 him, "Go, yo son will live." Da man believed da word dat Jesus spoke 2 him, n he departed. 

Jn 4:51	Now as he wuz goin’ down, his slaves met him, sayin’ dat his kid wuz alive.
Jn 4:52	So he inquired from them da hr at which he had gotten better. Then they said 2 him, "Yesterday at da 7th hr da fever left him."
Jn 4:53	So da dad knew dat 'twas dat same hr at which Jesus said 2 him, "Yo son will live," n he himself believed, n his whole household.
Jn 4:54	Now dis is again a 2nd sign Jesus performed when he came from Judea into Galilee. 


CHAPTER 5
Jn 5:1	After deez tingz there wuz a feast of da Jews, n Jesus went up 2 Jerusalem.
Jn 5:2	Now there’s in Jerusalem near da Sheep Gate a pool called in Aramaic Bethzatha, which haz 5 porticoes.
Jn 5:3	In deez were lying a large numba of those who were sick, blind, lame, paralyzed.
Jn 5:5	And a certain man wuz there who had been 38 yrs in his sickness.
Jn 5:6	Jesus, when he saw dis 1 lying there n knew dat he had been sick a long time already, said 2 him, "Do u wanna become well?"
Jn 5:7	Da 1 who wuz sick answered him, "Sir, i don’t hav anyone dat, whenever da water is stirred up, could put me into da pool. But while im comin’, anotha goes down b4 me."
Jn 5:8	Jesus said 2 him, "Get up! Pick up yo mat n walk!"
Jn 5:9	And immediately da man became well n picked up his mat n began 2 walk. (Now 'twas da Sabbath on dat day.) 

Jn 5:10	So da Jews were sayin’ 2 da 1 who had been healed, "It’s da Sabbath, n it isn’t ok 4 u 2 pick up da mat!"
Jn 5:11	But he answered them, "Da 1 who made me well--dat 1 said 2 me, 'Pick up yo mat n walk!'"
Jn 5:12	So they asked him, "Who is da man who said 2 u, 'Pick up yo mat n walk?'"
Jn 5:13	But da 1 who wuz healed didn't kno who 'twas, 4 Jesus had withdrawn while a crowd wuz in da place. 

Jn 5:14	After deez tingz Jesus found him at da temple n said 2 him, "Look, u hav become well! Sin no longer, lest somethin’ worse happen 2 u."
Jn 5:15	Da man went n reported 2 da Jews dat Jesus wuz da 1 who made him well.
Jn 5:16	And on account of dis da Jews began 2 persecute Jesus, cuz he wuz doin’ deez tingz on da Sabbath.
Jn 5:17	But he answered them, "My Dad is working until now, n im working."
Jn 5:18	So on account of dis da Jews were seeking even more 2 kill him, cuz he not only wuz breaking da Sabbath, but also wuz calling God his own Dad, so making himself equal w God. 

Jn 5:19	So Jesus answered n said 2 them, "Fr, tbh, da Son can do nothin’ from himself except wut he sees da Dad doin’. Cuz whatever dat 1 does, deez tingz also da Son does like dat.
Jn 5:20	Cuz da Dad luvs da Son n shows him everythin’ dat he himself is doin’. And better works than deez he’ll show him, so dat u gonna be shook.
Jn 5:21	Cuz just like da Dad raises da ded n makes them alive, so also da Son makes alive whomever he wishes.
Jn 5:22	Cuz da Dad doesn't judge anyone, but he’s given all judgment 2 da Son,
Jn 5:23	so dat all ppl will honor da Son, just like they honor da Dad. Da 1 who doesn't honor da Son doesn't honor da Dad who sent him.
Jn 5:24	Fr, tbh da 1 who hears my word n who believes da 1 who sent me haz lyf 4ever, n doesn't come into judgment, but haz passed from death into lyf. 

Jn 5:25	"Fr, tbh, dat an hr is comin’--n now is here--when da ded will hear da voice of da Son of God, n da ones who hear will live.
Jn 5:26	Cuz just like da Dad haz lyf in himself, so also he’s granted 2 da Son 2 hav lyf in himself.
Jn 5:27	And he’s granted him authority 2 carry out judgment, cuz he’s da Son of Man. 

Jn 5:28	"Don’t be shook at dis, cuz an hr is comin’ in which all those in da tombs will hear his voice
Jn 5:29	n they’ll come out--those who hav done gud tingz 2 a resurrection of lyf, but those who hav practiced bad tingz 2 a resurrection of judgment.
Jn 5:30	im able 2 do nothin’ from myself. Just as i hear, i judge, n my judgment is just, cuz i don’t seek my own will, but da will of da 1 who sent me. 

Jn 5:31	"If i testify 'bout myself, my testimony isn’t tru.
Jn 5:32	There is anotha who testifies 'bout me, n i kno dat da testimony which he testifies 'bout me is tru.
Jn 5:33	U hav sent 2 Johnny n he’s testified 2 da truth.
Jn 5:34	(And i don’t get testimony from ppl, but i say deez tingz so dat u may be saved.)
Jn 5:35	Dat 1 wuz da lamp which wuz burning n shining, n u wanted 2 rejoice 4 an hr in his light. 

Jn 5:36	"But i’ve a testimony better than Johnny's, 4 da works which da Dad haz given 2 me dat i shud complete them--da very works which im doin’--deez testify 'bout me, dat da Dad haz sent me.
Jn 5:37	And da Dad who sent me, dat 1 haz testified 'bout me. U hav neither heard his voice at any time nor seen his form.
Jn 5:38	And u don’t hav his word livin’ in yoselves, cuz da 1 whom dat 1 sent, in dis 1 u don’t believe.
Jn 5:39	U search da scriptures cuz u think dat u hav lyf 4ever in them, n it’s deez dat testify 'bout me.
Jn 5:40	And u aren’t willing 2 come 2 me so dat u may hav lyf. 

Jn 5:41	"i don’t accept glory from ppl,
Jn 5:42	but i kno u, dat u don’t hav da luv of God in yoselves.
Jn 5:43	i’ve come in my Dad's name, n u don’t accept me. If anotha shud come in his own name, u would accept dat 1!
Jn 5:44	How r u able 2 believe, if u accept glory from 1 anotha, n don’t seek da glory which is from da only God?
Jn 5:45	Don’t think dat i’ll accuse u b4 da Dad! Da 1 who accuses u is Moe, in whom u hav put yo hope!
Jn 5:46	Cuz if u had believed Moe, u would believe me, 4 dat 1 wrote 'bout me.
Jn 5:47	But if u don’t believe dat 1's writings, how’ll u believe my words?" 


CHAPTER 6
Jn 6:1	After deez tingz Jesus went away 2 da other side of da sea of Galilee (dat’s, Tiberias).
Jn 6:2	And a large crowd wuz following him cuz they were observing da signs dat he wuz doin’ on those who were sick.
Jn 6:3	So Jesus went up on da mountain n sat down there w his homeboys.
Jn 6:4	(Now da Passover, da feast of da Jews, wuz near.)
Jn 6:5	Then Jesus, when he looked up  n saw dat a large crowd wuz comin’ 2 him, said 2 Phil, "Where can we buy bread so dat deez ppl can eat?"
Jn 6:6	(Now he said dis 2 test him, cuz he knew wut he wuz goin’ 2 do.)
Jn 6:7	Phil replied 2 him, "2 hundred denarii worth of bread would not be enough 4 them, so dat each 1 could get a lil’."
Jn 6:8	1 of his homies, Andrew da bro of Simon Pete, said 2 him,
Jn 6:9	"Here is a boi who haz 5 barley loaves n 2 fish, but wut r deez 4 so many ppl?"
Jn 6:10	Jesus said, "Make da ppl recline." (Now there wuz a lotta grass in da place.) So da men reclined, approximately 5 K in numba.
Jn 6:11	Then Jesus took da bread, n after he had given thanks, he distributed it 2 those who were reclining--like dat also of da fish, as much as they wanted.
Jn 6:12	And when they were satisfied, he said 2 his homies, "Gather da remaining pieces so dat nothin’ is lost."
Jn 6:13	So they gathered them, n filled 12 baskets w pieces from da 5 barley loaves which were left over by those who had eaten. 

Jn 6:14	Now when da ppl saw da sign dat he performed, they began 2 say, "Dis 1 is fr da Prophet who is 2 come into da world!"
Jn 6:15	Then Jesus, cuz he knew dat they were 'bout 2 come n seize him in order 2 make him king, withdrew again up da mountain by himself alone. 

Jn 6:16	Now when evening came, his homies went down 2 da sea.
Jn 6:17	And getting into a boat, they began 2 go 2 da other side of da sea, 2 Capernaum. And it had already become dark, n Jesus hadn't yet come 2 them.
Jn 6:18	And da sea began 2 be stirred up cuz a strong wind wuz blowing.
Jn 6:19	Then when they had rowed 'bout 25 or thirty stadia, they saw Jesus walking on da sea n comin’ near da boat, n they were afraid.
Jn 6:20	But he said 2 them, "It’s i! Don’t be afraid!"
Jn 6:21	So they were wanting 2 take him into da boat, n immediately da boat came 2 da land 2 which they were goin’. 

Jn 6:22	On da next day, da crowd dat wuz on da other side of da sea saw dat other boats weren't there (except 1), n dat Jesus hadn't entered w his homeboys into da boat, but his homies had departed alone.
Jn 6:23	Other boats from Tiberias came near da place where they had eaten da bread after da Lord had given thanks.
Jn 6:24	So when da crowd saw dat Jesus wasn’t there, nor his homies, they themselves got into da boats n came 2 Capernaum seeking Jesus. 

Jn 6:25	And when they found him on da other side of da sea, they said 2 him, "Rabbi, when did u get here?"
Jn 6:26	Jesus replied 2 them n said, "Fr, tbh, u seek me not cuz u saw signs, but cuz u ate of da loaves n were satisfied!
Jn 6:27	Don’t work 4 da food dat dies, but da food dat remains 2 lyf 4ever, which da Son of Man will give 2 u. Cuz God da Dad haz set his seal on dis 1." 

Jn 6:28	So they said 2 him, "Wut will we do dat we can accomplish da works of God?"
Jn 6:29	Jesus answered n said 2 them, "Dis is da work of God: dat u believe in da 1 whom dat 1 sent."
Jn 6:30	So they said 2 him, "Then wut sign will u perform, so dat we can c it n believe u? Wut will u do?
Jn 6:31	Our dads ate da manna in da wilderness, just like it’s written, 'He gave them bread from heaven 2 eat.' 

Jn 6:32	Then Jesus said 2 them, "Fr, tbh, Moe didn't give u bread from heaven, but my Dad is giving u da tru bread from heaven!
Jn 6:33	Cuz da bread of God is da 1 who comes down from heaven n gives lyf 2 da world."
Jn 6:34	So they said 2 him, "Sir, always give us dis bread!" 

Jn 6:35	Jesus said 2 them, "im da bread of lyf. Da 1 who comes 2 me will never be hungry, n da 1 who believes in me will never be thirsty again.
Jn 6:36	But i said 2 u dat u hav seen me n don’t believe.
Jn 6:37	E’erybody whom da Dad gives 2 me will come 2 me, n da 1 who comes 2 me i’ll never yeet out,
Jn 6:38	cuz i’ve come down from heaven not dat i shud do wut i want, but da will of da 1 who sent me.
Jn 6:39	Now dis is da will of da 1 who sent me: dat e’erybody whom he’s given me, i’d not lose any of them, but raise them up on da last day.
Jn 6:40	Cuz of dis is da will of my Dad, dat e’erybody who looks at da Son n believes in him would’ve lyf 4ever, n i’ll raise him up on da last day." 

Jn 6:41	Now da Jews began 2 grumble 'bout him cuz he said, "im da bread dat came down from heaven,"
Jn 6:42	n they were sayin’, "Is dis 1 not Jesus da son of Joey, whose dad n mom we kno? How does he now say, 'i’ve come down from heaven'?"
Jn 6:43	Jesus answered n said 2 them, "Don’t grumble among yoselves!
Jn 6:44	No 1 is able 2 come 2 me unless da Dad who sent me draws him, n i’ll raise him up on da last day.
Jn 6:45	It’s written in da prophets, 'And they’ll all be taught by God.' E’erybody who hears from da Dad n learns comes 2 me.
Jn 6:46	(Not dat anyone haz seen da Dad except da 1 who is from God--dis 1 haz seen da Dad.)
Jn 6:47	Fr, tbh, da 1 who believes haz lyf 4ever.
Jn 6:48	im da bread of lyf.
Jn 6:49	Yo dads ate da manna in da wilderness n they died.
Jn 6:50	Dis is da bread dat comes down from heaven so dat someone may eat from it n not die.
Jn 6:51	im da livin’ bread dat came down from heaven. If anyone eats from dis bread, he’ll live 4ever. And da bread dat i’ll give 4 da lyf of da world is my flesh." 

Jn 6:52	So da Jews began 2 quarrel among themselves, sayin’, "How can dis man give us his flesh 2 eat?"
Jn 6:53	Then Jesus said 2 them, "Fr, tbh, unless u eat da flesh of da Son of Man n drink his blood, u don’t hav lyf in yoselves!
Jn 6:54	Da 1 who eats my flesh n drinks my blood haz lyf 4ever, n i’ll raise him up on da last day.
Jn 6:55	Cuz my flesh is tru food, n my blood is tru drink.
Jn 6:56	Da 1 who eats my flesh n drinks my blood lives in me n i in him.
