----------------------------------------------------------------------------------------------
MATTHEW
----------------------------------------------------------------------------------------------

CHAPTER 1
Mt 1:1	The book of the genealogy of Jesus Christ, the son of David, the son of Abraham. 
Mt 10:16	"Behold, I am sending you out like sheep in the midst of wolves. Therefore be wise as serpents and innocent as doves.
Mt 10:17	But beware of people, because they will hand you over to councils, and they will flog you in their synagogues.
Mt 10:18	And you will be brought before both governors and kings because of me, for a witness to them and to the Gentiles.
Mt 10:19	But whenever they hand you over, do not be anxious how to speak or what you should say, for what you should say will be given to you at that hour.
Mt 10:20	For you are not the ones who are speaking, but the Spirit of your Father who is speaking through you. 

Mt 10:21	"And brother will hand over brother to death, and a father his children, and children will rise up against parents and have them put to death,
Mt 10:22	and you will be hated by everyone because of my name. But the one who endures to the end--this one will be saved.
Mt 10:23	And whenever they persecute you in this town, flee to another, for truly I say to you, you will never finish going through the towns of Israel until the Son of Man comes. 

Mt 10:24	"A disciple is not superior to his teacher, nor a slave superior to his master.
Mt 10:25	It is enough for the disciple that he become like his teacher, and the slave like his master. If they have called the master of the house Beelzebul, how much more the members of his household? 

Mt 10:26	"Therefore do not be afraid of them, because nothing is hidden that will not be revealed, and nothing secret that will not become known.
Mt 10:27	What I say to you in the dark, tell in the light, and what you hear in your ear, proclaim on the housetops.
Mt 10:28	And do not be afraid of those who kill the body but are not able to kill the soul, but instead be afraid of the one who is able to destroy both soul and body in hell.
Mt 10:29	Are not two sparrows sold for a penny? And one of them will not fall to the ground without the knowledge and consent of your Father.
Mt 10:30	And even the hairs of your head are all numbered!
Mt 10:31	Therefore do not be afraid; you are worth more than many sparrows. 

Mt 10:32	"Therefore everyone who acknowledges me before people, I also will acknowledge him before my Father who is in heaven.
Mt 10:33	But whoever denies me before people, I also will deny him before my Father who is in heaven. 

Mt 10:34	"Do not think that I have come to bring peace on the earth! I have not come to bring peace, but a sword.
Mt 10:35	For I have come to turn a man against his father, and a daughter against her mother, and a daughter-in-law against her mother-in-law.
Mt 10:36	And the enemies of a man will be the members of his household.
Mt 10:37	The one who loves father or mother more than me is not worthy of me, and the one who loves son or daughter more than me is not worthy of me.
Mt 10:38	And whoever does not take up his cross and follow me is not worthy of me.
Mt 10:39	The one who finds his life will lose it, and the one who loses his life because of me will find it. 

Mt 10:40	"The one who receives you receives me, and the one who receives me receives the one who sent me.
Mt 10:41	The one who receives a prophet in the name of a prophet will receive a prophet's reward, and the one who receives a righteous person in the name of a righteous person will receive a righteous person's reward.
Mt 10:42	And whoever gives one of these little ones only a cup of cold water to drink in the name of a disciple, truly I say to you, he will never lose his reward." 


CHAPTER 11
Mt 11:1	And it happened that when Jesus had finished giving orders to his twelve disciples, he went on from there to teach and to preach in their towns.
Mt 11:2	Now when John heard in prison the deeds of Christ, he sent word by his disciples
Mt 11:3	and said to him, "Are you the one who is to come, or should we look for another?"
Mt 11:4	And Jesus answered and said to them, "Go and tell John what you hear and see:
Mt 11:5	the blind receive sight and the lame walk, lepers are cleansed and the deaf hear, and the dead are raised, and the poor have good news announced to them.
Mt 11:6	And whoever is not offended by me is blessed." 

Mt 11:7	Now as these were going away, Jesus began to speak to the crowds concerning John: "What did you go out into the wilderness to see? A reed shaken by the wind?
Mt 11:8	But what did you go out to see? A man dressed in soft clothing? Behold, those who wear soft clothing are in the houses of kings.
Mt 11:9	But why did you go out? To see a prophet? Yes, I tell you, and even more than a prophet!
Mt 11:10	It is this man about whom it is written: 
 'Behold, I am sending my messenger before your face, who will prepare your way before you.'

Mt 11:11	Truly I say to you, among those born of women there has not arisen one greater than John the Baptist. But the one who is least in the kingdom of heaven is greater than he.
Mt 11:12	But from the days of John the Baptist until now, the kingdom of heaven is treated violently, and the violent claim it.
Mt 11:13	For all the prophets and the law prophesied until John,
Mt 11:14	and if you are willing to accept it, he is Elijah, the one who is going to come.
Mt 11:15	The one who has ears, let him hear! 

Mt 11:16	"But to what shall I compare this generation? It is like children sitting in the marketplaces who call out to one another,
Mt 11:17	saying, 
 'We played the flute for you and you did not dance; we sang a lament and you did not mourn.'

Mt 11:18	For John came neither eating nor drinking, and they say, 'He has a demon!'
Mt 11:19	The Son of Man came eating and drinking, and they say, 'Behold, a man who is a glutton and a drunkard, a friend of tax collectors and sinners!' But wisdom is vindicated by her deeds." 

Mt 11:20	Then he began to reproach the towns in which the majority of his miracles had been done, because they did not repent:
Mt 11:21	"Woe to you, Chorazin! Woe to you, Bethsaida! For if the miracles done in you had been done in Tyre and Sidon, they would have repented long ago in sackcloth and ashes.
Mt 11:22	Nevertheless I tell you, it will be more bearable for Tyre and for Sidon on the day of judgment than for you!
Mt 11:23	And you, Capernaum, will you be exalted to heaven? No, you will be brought down to Hades! For if the miracles done in you had been done in Sodom, it would have remained until today.
Mt 11:24	Nevertheless I tell you that it will be more bearable for the region of Sodom on the day of judgment than for you!" 

Mt 11:25	At that time Jesus answered and said, "I praise you, Father, Lord of heaven and earth, because you have hidden these things from the wise and intelligent, and have revealed them to young children.
Mt 11:26	Yes, Father, for to do so was your gracious will.
Mt 11:27	All things have been handed over to me by my Father, and no one knows the Son except the Father, and no one knows the Father except the Son and anyone to whom the Son wants to reveal him.
Mt 11:28	Come to me, all of you who labor and are burdened, and I will give you rest.
Mt 11:29	Take my yoke on you and learn from me, for I am gentle and humble in heart, and you will find rest for your souls.
Mt 11:30	For my yoke is easy to carry and my burden is light." 


CHAPTER 12
Mt 12:1	At that time Jesus went through the grain fields on the Sabbath. And his disciples were hungry, and they began to pluck off heads of grain and eat them.
Mt 12:2	But when the Pharisees saw it, they said to him, "Behold, your disciples are doing what it is not permitted to do on the Sabbath!"
Mt 12:3	So he said to them, "Have you not read what David did when he was hungry, and those with him,
Mt 12:4	how he entered into the house of God and ate the bread of the presentation, which it was not permitted for him or for those with him to eat, but only for the priests?
Mt 12:5	Or have you not read in the law that on the Sabbath the priests in the temple violate the sanctity of the Sabbath and are guiltless?
Mt 12:6	But I tell you that something greater than the temple is here!
Mt 12:7	And if you had known what it means, 'I want mercy and not sacrifice,' you would not have condemned the guiltless.
Mt 12:8	For the Son of Man is lord of the Sabbath." 

Mt 12:9	And going on from there he came into their synagogue.
Mt 12:10	And behold, there was a man who had a withered hand, and they asked him, saying, "Is it permitted to heal on the Sabbath?" in order that they could accuse him.
Mt 12:11	But he said to them, "What man will there be among you who will have one sheep and if this one fell into a pit on the Sabbath, will not take hold of it and lift it out?
Mt 12:12	Then to what degree is a man worth more than a sheep? So then, it is permitted to do good on the Sabbath." 

Mt 12:13	Then he said to the man, "Stretch out your hand," and he stretched it out, and it was restored as healthy as the other one.
Mt 12:14	But the Pharisees went out and plotted against him in order that they could destroy him. 

Mt 12:15	Now Jesus, when he learned of it, withdrew from there, and many followed him, and he healed them all.
Mt 12:16	And he warned them that they should not reveal his identity,
Mt 12:17	in order that what was spoken through the prophet Isaiah would be fulfilled, who said, 

Mt 12:18	"Behold my servant whom I have chosen, my beloved in whom my soul is well pleased. I will put my Spirit on him, and he will proclaim justice to the Gentiles.
Mt 12:19	He will not quarrel or cry out, nor will anyone hear his voice in the streets.
Mt 12:20	A crushed reed he will not break, and a smoldering wick he will not extinguish, until he brings justice to victory.
Mt 12:21	And in his name the Gentiles will hope.

Mt 12:22	Then a demon-possessed man who was blind and mute was brought to him. And he healed him so that the man who was mute could speak and see.
Mt 12:23	And all the crowds were amazed and began saying, "Perhaps this one is the Son of David!"
Mt 12:24	But the Pharisees, when they heard it, said, "This man does not expel demons except by Beelzebul the ruler of demons!"
Mt 12:25	But knowing their thoughts, he said to them, "Every kingdom divided against itself is laid waste, and every city or household divided against itself will not stand.
Mt 12:26	And if Satan expels Satan, he is divided against himself. How then will his kingdom stand?
Mt 12:27	And if I expel demons by Beelzebul, by whom do your sons expel them? For this reason they will be your judges!
Mt 12:28	But if I expel demons by the Spirit of God, then the kingdom of God has come upon you!
Mt 12:29	Or how can someone enter into the house of a strong man and steal his property, unless he first ties up the strong man? And then he can thoroughly plunder his house.
Mt 12:30	The one who is not with me is against me, and the one who does not gather with me scatters.
Mt 12:31	For this reason I tell you, every sin and blasphemy will be forgiven people, but the blasphemy against the Spirit will not be forgiven!
Mt 12:32	And whoever speaks a word against the Son of Man, it will be forgiven him. But whoever speaks against the Holy Spirit, it will not be forgiven him either in this age or in the coming one! 

Mt 12:33	"Either make the tree good and its fruit is good, or make the tree bad and its fruit is bad, for the tree is known by its fruit.
Mt 12:34	Offspring of vipers! How are you able to say good things when you are evil? For from the abundance of the heart the mouth speaks.
Mt 12:35	The good person from his good treasury brings out good things, and the evil person from his evil treasury brings out evil things.
Mt 12:36	But I tell you that every worthless word that they speak, people will give an account for it on the day of judgment!
Mt 12:37	For by your words you will be vindicated, and by your words you will be condemned." 

Mt 12:38	Then some of the scribes and Pharisees answered him saying, "Teacher, we want to see a sign from you!"
Mt 12:39	But he answered and said to them, "An evil and adulterous generation desires a sign, and no sign will be given to it except the sign of the prophet Jonah!
Mt 12:40	For just as Jonah was in the belly of the huge fish three days and three nights, so the Son of Man will be in the heart of the earth three days and three nights.
Mt 12:41	The people of Nineveh will stand up at the judgment with this generation and condemn it, because they repented at the proclamation of Jonah, and behold, something greater than Jonah is here!
Mt 12:42	The queen of the south will rise up at the judgment with this generation and condemn it, because she came from the ends of the earth to hear the wisdom of Solomon, and behold, something greater than Solomon is here! 

Mt 12:43	"Now whenever an unclean spirit has gone out of a person, it travels through waterless places searching for rest, and does not find it.
Mt 12:44	Then it says, 'I will return to my house from which I came out.' And when it arrives it finds the house unoccupied and swept and put in order.
Mt 12:45	Then it goes and brings along with itself seven other spirits more evil than itself, and they go in and live there. And the last state of that person becomes worse than the first. So it will be for this evil generation also!" 

Mt 12:46	And while he was still speaking to the crowds, behold, his mother and brothers were standing there outside, desiring to speak to him.
Mt 12:47	And someone told him, "Behold, your mother and your brothers are standing there outside desiring to speak to you."
Mt 12:48	But he answered and said to the one who told him, "Who is my mother, and who are my brothers?"
Mt 12:49	And stretching out his hand toward his disciples, he said, "Behold my mother and my brothers!
Mt 12:50	For whoever does the will of my Father who is in heaven, he is my brother and sister and mother." 


CHAPTER 13
Mt 13:1	On that day Jesus went out of the house and was sitting by the sea.
Mt 13:2	And large crowds gathered close around him, so that he got into a boat to sit down, and all the crowd was standing on the shore.
Mt 13:3	And he spoke many things to them in parables, saying, "Behold, the sower went out to sow,
Mt 13:4	and while he was sowing, some seed fell on the side of the path, and the birds came and devoured it.
Mt 13:5	And other seed fell on the rocky ground, where it did not have much soil, and it sprang up at once because it did not have any depth of soil.
Mt 13:6	But when the sun rose it was scorched, and because it did not have enough root, it withered.
Mt 13:7	And other seed fell among the thorn plants, and the thorn plants came up and choked it.
Mt 13:8	But other seed fell on the good soil and produced grain, this one a hundred times as much and this one sixty and this one thirty.
Mt 13:9	The one who has ears, let him hear!" 

Mt 13:10	And the disciples came up and said to him, "Why do you speak to them in parables?"
Mt 13:11	And he answered and said to them, "To you it has been granted to know the mysteries of the kingdom of heaven, but to those people it has not been granted.
Mt 13:12	For whoever has, to him more will be given, and he will have an abundance. But whoever does not have, even what he has will be taken away from him.
Mt 13:13	For this reason I speak to them in parables, because seeing they do not see, and hearing they do not hear, nor do they understand,
Mt 13:14	and with reference to them the prophecy of Isaiah is fulfilled that says, 
 "You will listen carefully and will never understand, and you will look closely and will never perceive.
Mt 13:15	For the heart of this people has become dull, and with their ears they hear with difficulty, and they have shut their eyes, so that they would not see with their eyes and hear with their ears and understand with their heart and turn, and I would heal them."

Mt 13:16	But your eyes are blessed because they see, and your ears because they hear.
Mt 13:17	For truly I say to you that many prophets and righteous people longed to see what you see, and did not see it, and to hear what you hear, and did not hear it! 

Mt 13:18	"You, therefore, listen to the parable of the sower:
Mt 13:19	When anyone hears the word about the kingdom and does not understand it, the evil one comes and snatches away what was sown in his heart. This is what was sown on the side of the path.
Mt 13:20	And what was sown on the rocky ground--this is the one who hears the word and immediately receives it with joy.
Mt 13:21	But he does not have a root in himself, but lasts only a little while, and when affliction or persecution happens because of the word, immediately he falls away.
Mt 13:22	And what was sown into the thorn plants--this is the one who hears the word, and the anxiety of this world and the deceitfulness of wealth choke the word and it becomes unproductive.
Mt 13:23	But what was sown on the good soil--this is the one who hears the word and understands it, who indeed bears fruit and produces, this one a hundred times as much, and this one sixty, and this one thirty." 

Mt 13:24	He put before them another parable, saying, "The kingdom of heaven may be compared to a man who sowed good seed in his field.
Mt 13:25	But while his people were sleeping, his enemy came and sowed darnel in the midst of the wheat and went away.
Mt 13:26	So when the wheat sprouted and yielded grain, then the darnel appeared also.
Mt 13:27	So the slaves of the master of the house came and said to him, 'Master, did you not sow good seed in your field? How then does it have darnel?'
Mt 13:28	And he said to them, 'An enemy has done this!' So the slaves said to him, 'Then do you want us to go and gather them?'
Mt 13:29	But he said, "No, lest when you gather the darnel you uproot the wheat together with it.
Mt 13:30	Let both grow together until the harvest, and at the season of the harvest I will tell the reapers, "First gather the darnel and tie it into bundles to burn them, but gather the wheat into my storehouse." '" 

Mt 13:31	He put before them another parable, saying, "The kingdom of heaven is like a mustard seed that a man took and sowed in his field.
Mt 13:32	It is the smallest of all the seeds, but when it is grown it is larger than the garden herbs and becomes a tree, so that the birds of the sky come and nest in its branches." 

Mt 13:33	He told them another parable: "The kingdom of heaven is like yeast that a woman took and put into three measures of wheat flour until the whole batch was leavened." 

Mt 13:34	Jesus spoke all these things to the crowds in parables, and he was saying nothing to them without a parable,
Mt 13:35	in order that what was spoken through the prophet would be fulfilled, who said, 
 "I will open my mouth in parables; I will proclaim what has been hidden since the creation."

Mt 13:36	Then he left the crowds and came into the house, and his disciples came to him saying, "Explain the parable of the darnel in the field to us."
Mt 13:37	So he answered and said, "The one who sows the good seed is the Son of Man,
Mt 13:38	and the field is the world. And the good seed--these are the sons of the kingdom, but the darnel are the sons of the evil one.
Mt 13:39	And the enemy who sowed them is the devil, and the harvest is the end of the age, and the reapers are angels.
Mt 13:40	Thus just as the darnel is gathered and burned with fire, so it will be at the end of the age.
Mt 13:41	The Son of Man will send out his angels and they will gather out of his kingdom all the causes of sin and those who do lawless deeds,
Mt 13:42	and throw them into the fiery furnace. In that place there will be weeping and gnashing of teeth!
Mt 13:43	Then the righteous will shine like the sun in the kingdom of their Father. The one who has ears, let him hear! 

Mt 13:44	"The kingdom of heaven is like treasure hidden in a field, that a man found and concealed, and in his joy he goes and sells everything that he has and buys that field. 

Mt 13:45	"Again, the kingdom of heaven is like a merchant searching for fine pearls.
Mt 13:46	And when he found one very valuable pearl, he went and sold everything that he possessed and purchased it. 

Mt 13:47	"Again, the kingdom of heaven is like a dragnet that was thrown into the sea and gathered fish of every kind,
Mt 13:48	which when it was filled they pulled to shore and sat down and collected the good fish into containers, but the bad they threw out.
Mt 13:49	Thus it will be at the end of the age. The angels will go out and separate the evil from among the righteous
Mt 13:50	and throw them into the fiery furnace. In that place there will be weeping and gnashing of teeth! 

Mt 13:51	"Have you understood all these things?" They said to him, "Yes."
Mt 13:52	And he said to them, "For this reason every scribe who has been trained for the kingdom of heaven is like the master of the house who brings out of his storeroom new things and old things." 

Mt 13:53	And it happened that when Jesus had finished these parables he went away from there.
Mt 13:54	And he came to his hometown and began to teach them in their synagogue, so that they were amazed and said, "From where did this man get this wisdom and these miracles?
Mt 13:55	Is not this one the son of the carpenter? Is not his mother called Mary and his brothers James and Joseph and Simon and Judas?
Mt 13:56	And are not all his sisters with us? From where then did this man get all these things?"
Mt 13:57	And they were offended by him. But Jesus said to them, "A prophet is not without honor except in his own hometown and in his own household."
Mt 13:58	And he did not perform many miracles in that place because of their unbelief. 


CHAPTER 14
Mt 14:1	At that time Herod the tetrarch heard the report about Jesus
Mt 14:2	and he said to his servants, "This is John the Baptist! He has been raised from the dead, and for this reason miraculous powers are at work in him."
Mt 14:3	For Herod, after arresting John, bound him and put him in prison on account of Herodias, the wife of his brother Philip,
Mt 14:4	because John had been saying to him, "It is not permitted for you to have her."
Mt 14:5	And although he wanted to kill him, he feared the crowd, because they looked upon him as a prophet. 

Mt 14:6	But when Herod's birthday celebration took place, the daughter of Herodias danced in the midst of them and pleased Herod.
Mt 14:7	Therefore he promised with an oath to give her whatever she asked.
Mt 14:8	And coached by her mother, she said, "Give me the head of John the Baptist here on a platter!"
Mt 14:9	And although the king was distressed, because of his oaths and his dinner guests he commanded the request to be granted.
Mt 14:10	And he sent orders and had John beheaded in the prison,
Mt 14:11	and his head was brought on a platter and given to the girl, and she brought it to her mother.
Mt 14:12	And his disciples came and took away the corpse and buried it, and went and told Jesus. 

Mt 14:13	Now when Jesus heard it, he withdrew from there in a boat to an isolated place by himself. And when the crowds heard it, they followed him by land from the towns.
Mt 14:14	And as he got out, he saw the large crowd and had compassion on them and healed their sick.
Mt 14:15	Now when it was evening, the disciples came to him saying, "The place is desolate and the hour is late. Release the crowds so that they can go away into the villages and purchase food for themselves."
Mt 14:16	But Jesus said to them, "They do not need to go away. You give them something to eat."
Mt 14:17	And they said to him, "We do not have anything here except five loaves and two fish."
Mt 14:18	So he said, "Bring them here to me."
Mt 14:19	And he commanded the crowds to recline for a meal on the grass. Taking the five loaves and the two fish and looking up to heaven, he gave thanks. And after breaking them, he gave the loaves to the disciples, and the disciples gave them to the crowds.
Mt 14:20	And they all ate and were satisfied, and they picked up what was left over of the broken pieces, twelve baskets full.
Mt 14:21	Now those who ate were about five thousand men, in addition to women and children. 

Mt 14:22	And immediately he made the disciples get into the boat and go ahead of him to the other side, while he sent away the crowds.
Mt 14:23	And after he sent away the crowds, he went up on the mountain by himself to pray. So when evening came, he was there alone.
Mt 14:24	But the boat was already many stadia distant from the land, being beaten by the waves, because the wind was against it.
Mt 14:25	And in the fourth watch of the night he came to them, walking on the sea.
Mt 14:26	But the disciples, when they saw him walking on the sea, were terrified, saying, "It is a ghost!" and they cried out in fear.
Mt 14:27	But immediately Jesus spoke to them, saying, "Have courage, I am he! Do not be afraid!"
Mt 14:28	And Peter answered him and said, "Lord, if it is you, command me to come to you on the water!"
Mt 14:29	So he said, "Come!" And getting out of the boat, Peter walked on the water and came toward Jesus.
Mt 14:30	But when he saw the strong wind, he was afraid. And beginning to sink, he cried out, saying, "Lord, save me!"
Mt 14:31	And immediately Jesus extended his hand and caught him and said to him, "You of little faith! Why did you doubt?"
Mt 14:32	And when they got into the boat, the wind abated.
Mt 14:33	So those in the boat worshiped him, saying, "Truly you are the Son of God!" 

Mt 14:34	And after they had crossed over, they came to land at Gennesaret.
Mt 14:35	And when the men of that place recognized him, they sent word into that whole surrounding region, and they brought to him all those who were sick.
Mt 14:36	And they were imploring him that they might only touch the edge of his cloak, and all those who touched it were cured. 


CHAPTER 15
Mt 15:1	Then Pharisees and scribes came to Jesus from Jerusalem, saying,
Mt 15:2	"Why do your disciples break the tradition of the elders? For they do not wash their hands when they eat a meal."
Mt 15:3	So he answered and said to them, "Why do you also break the commandment of God because of your tradition?
Mt 15:4	For God said, 'Honor your father and your mother,' and 'The one who speaks evil of father or mother must certainly die.'
Mt 15:5	But you say, 'Whoever says to his father or his mother, "Whatever benefit you would have received from me is a gift to God,"
Mt 15:6	need not honor his father,' and you make void the word of God for the sake of your tradition.
Mt 15:7	Hypocrites! Isaiah correctly prophesied about you saying, 

Mt 15:8	'This people honors me with their lips, but their heart is far, far away from me,
Mt 15:9	and they worship me in vain, teaching as doctrines the commandments of men.'"

Mt 15:10	And summoning the crowd, he said to them, "Hear and understand:
Mt 15:11	It is not what goes into the mouth that defiles a person, but what comes out of the mouth--this defiles a person."
Mt 15:12	Then the disciples came and said to him, "Do you know that the Pharisees were offended when they heard this saying?"
Mt 15:13	And he answered and said, "Every plant that my heavenly Father did not plant will be uprooted.
Mt 15:14	Let them! They are blind guides of the blind. And if the blind guide the blind, both will fall into a pit."
Mt 15:15	But Peter answered and said to him, "Explain this parable to us."
Mt 15:16	But he said, "Are you also still without understanding?
Mt 15:17	Do you not understand that everything that enters into the mouth goes into the stomach and is evacuated into the latrine?
Mt 15:18	But the things that come out of the mouth come from the heart, and these defile the person.
Mt 15:19	For from the heart come evil plans, murder, adultery, sexual immorality, theft, false witness, abusive speech.
Mt 15:20	These are the things that defile a person. But eating with unwashed hands does not defile a person!" 

Mt 15:21	And departing from there, Jesus went away to the region of Tyre and Sidon.
Mt 15:22	And behold, a Canaanite woman from that district came and cried out, saying, "Have mercy on me, Lord, Son of David! My daughter is severely possessed by a demon!"
Mt 15:23	But he did not answer her a word. And his disciples came up and asked him, saying, "Send her away, because she is crying out after us!"
Mt 15:24	But he answered and said, "I was not sent except to the lost sheep of the house of Israel."
Mt 15:25	But she came and knelt down before him, saying, "Lord, help me!"
Mt 15:26	And he answered and said, "It is not right to take the children's bread and throw it to the dogs!"
Mt 15:27	So she said, "Yes, Lord, for even the dogs eat the crumbs that fall from their master's table."
Mt 15:28	Then Jesus answered and said to her, "O woman, your faith is great! Let it be done for you as you want." And her daughter was healed from that hour. 

Mt 15:29	And departing from there, Jesus went along the Sea of Galilee, and he went up on the mountain and was sitting there.
Mt 15:30	And large crowds came to him, having with them the mute, blind, lame, crippled, and many others, and they put them down at his feet, and he healed them.
Mt 15:31	So then the crowd was astonished when they saw the mute speaking, the crippled healthy, and the lame walking, and the blind seeing, and they praised the God of Israel. 

Mt 15:32	And Jesus summoned his disciples and said, "I have compassion on the crowd, because they have remained with me three days already and do not have anything to eat, and I do not want to send them away hungry lest they give out on the way."
Mt 15:33	And the disciples said to him, "Where in this desolate place can we get so much bread that such a great crowd could be satisfied?"
Mt 15:34	And Jesus said to them, "How many loaves do you have?" So they said, "Seven, and a few little fish."
Mt 15:35	And commanding the crowd to recline for a meal on the ground,
Mt 15:36	he took the seven loaves and the fish and after he had given thanks, he broke them and began giving them to the disciples, and the disciples gave them to the crowds.
Mt 15:37	And they all ate and were satisfied, and they picked up what was left over of the broken pieces, seven baskets full.
Mt 15:38	Now those who ate were four thousand men, in addition to women and children.
Mt 15:39	And after he sent away the crowds, he got into the boat and went to the region of Magadan. 


CHAPTER 16
Mt 16:1	And when the Pharisees and Sadducees came to test him, they asked him to show them a sign from heaven.
Mt 16:2	So he answered and said to them, "When evening comes you say, 'It will be fair weather because the sky is red,'
Mt 16:3	and early in the morning, 'Today it will be stormy weather, because the sky is red and darkening.' You know how to evaluate correctly the appearance of the sky, but you are not able to evaluate the signs of the times.
Mt 16:4	An evil and adulterous generation seeks for a sign, and a sign will not be given to it except the sign of Jonah!" And he left them and went away. 

Mt 16:5	And when the disciples arrived at the other side, they had forgotten to take bread.
Mt 16:6	And Jesus said to them, "Watch out for and beware of the leaven of the Pharisees and Sadducees!"
Mt 16:7	So they were discussing this among themselves, saying, "It is because we did not take bread."
Mt 16:8	But knowing this, Jesus said, "Why are you discussing among yourselves that you did not take bread, you of little faith?
Mt 16:9	Do you not yet understand or do you not remember the five loaves for the five thousand, and how many baskets you took up?
Mt 16:10	Or the seven loaves for the four thousand and how many baskets you took up?
Mt 16:11	How do you not understand that I did not speak to you about bread? But beware of the leaven of the Pharisees and Sadducees!"
Mt 16:12	Then they understood that he did not say to beware of the leaven of bread, but of the teaching of the Pharisees and Sadducees. 

Mt 16:13	Now when Jesus came to the region of Caesarea Philippi, he began asking his disciples, saying, "Who do people say that the Son of Man is?"
Mt 16:14	And they said, Some say John the Baptist, but others Elijah, and others Jeremiah or one of the prophets."
Mt 16:15	He said to them, "But who do you say that I am?"
Mt 16:16	And Simon Peter answered and said, "You are the Christ, the Son of the living God!"
Mt 16:17	And Jesus answered and said to him, "Blessed are you, Simon son of Jonah, because flesh and blood did not reveal this to you, but my Father who is in heaven.
Mt 16:18	And I also say to you that you are Peter, and on this rock I will build my church, and the gates of Hades will not overpower it!
Mt 16:19	I will give you the keys of the kingdom of heaven, and whatever you bind on earth will be bound in heaven, and whatever you release on earth will be released in heaven."
Mt 16:20	Then he commanded the disciples that they should tell no one that he was the Christ. 

Mt 16:21	From that time on Jesus began to show his disciples that he must go to Jerusalem and suffer many things from the elders and chief priests and scribes, and be killed, and be raised on the third day.
Mt 16:22	And Peter took him aside and began to rebuke him, saying, God forbid, Lord! This will never happen to you!"
Mt 16:23	But he turned around and said to Peter, "Get behind me, Satan! You are a cause for stumbling to me, because you are not intent on the things of God, but the things of people!" 

Mt 16:24	Then Jesus said to his disciples, "If anyone wants to come after me, let him deny himself and take up his cross and follow me.
Mt 16:25	For whoever wants to save his life will lose it, but whoever loses his life on account of me will find it.
Mt 16:26	For what will a person be benefited if he gains the whole world but forfeits his life? Or what will a person give in exchange for his life?
Mt 16:27	For the Son of Man is going to come in the glory of his Father with his angels, and at that time he will reward each one according to what he has done.
Mt 16:28	Truly I say to you, that there are some of those standing here who will never experience death until they see the Son of Man coming in his kingdom." 


CHAPTER 17
Mt 17:1	And after six days Jesus took along Peter and James and John his brother, and led them up on a high mountain by themselves.
Mt 17:2	And he was transfigured before them, and his face shone like the sun, and his clothing became bright as the light.
Mt 17:3	And behold, Moses and Elijah appeared to them, talking with him.
Mt 17:4	So Peter answered and said to Jesus, "Lord, it is good that we are here! If you want, I will make here three shelters, one for you and one for Moses and one for Elijah."
Mt 17:5	While he was still speaking, behold, a bright cloud overshadowed them, and behold, a voice from the cloud said, "This is my beloved Son, with whom I am well pleased. Listen to him!"
Mt 17:6	And when the disciples heard this, they fell down on their faces and were extremely frightened.
Mt 17:7	And Jesus came and touched them and said, "Get up and do not be afraid."
Mt 17:8	And when they lifted up their eyes they saw no one except him--Jesus alone. 

Mt 17:9	And as they were coming down from the mountain, Jesus commanded them saying, "Tell no one the vision until the Son of Man is raised from the dead."
Mt 17:10	And the disciples asked him, saying, "Then why do the scribes say that Elijah must come first?"
Mt 17:11	And he answered and said, "Elijah indeed is coming, and will restore all things.
Mt 17:12	But I say to you that Elijah has already come, and they did not recognize him, but did with him whatever they wanted. In the same way also the Son of Man is going to suffer at their hands."
Mt 17:13	Then the disciples understood that he had spoken to them about John the Baptist. 

Mt 17:14	And when they came to the crowd, a man approached him, kneeling down before him
Mt 17:15	and saying, "Lord, have mercy on my son, because he has seizures and suffers severely, for often he falls into the fire and often into the water.
Mt 17:16	And I brought him to your disciples, and they were not able to heal him."
Mt 17:17	And Jesus answered and said, "O unbelieving and perverse generation! How long will I be with you? How long must I put up with you? Bring him here to me!"
Mt 17:18	And Jesus rebuked him, and the demon came out of him and the boy was healed from that hour. 

Mt 17:19	Then the disciples approached Jesus privately and said, Why were we not able to expel it?"
Mt 17:20	And he said to them, "Because of your little faith. For truly I say to you, if you have faith like a mustard seed, you will say to this mountain, 'Move from here to there,' and it will move, and nothing will be impossible for you." 

Mt 17:22	Now as they were gathering in Galilee, Jesus said to them, "The Son of Man is going to be betrayed into the hands of men,
Mt 17:23	and they will kill him, and on the third day he will be raised." And they were extremely distressed. 

Mt 17:24	Now when they arrived in Capernaum, the ones who collected the double drachma tax came up to Peter and said, "Does your teacher not pay the double drachma tax?"
Mt 17:25	He said, "Yes." And when he came into the house, Jesus spoke to him first, saying, "What do you think, Simon? From whom do the kings of the earth collect tolls or taxes--from their own sons, or from foreigners?"
Mt 17:26	And when he said, "From foreigners," Jesus said to him, "Then the sons are free.
Mt 17:27	But so that we do not give offense to them, go out to the sea, cast a line with a hook, and take the first fish that comes up. And when you open its mouth, you will find a four-drachma coin. Take that and give it to them for me and you." 


CHAPTER 18
Mt 18:1	At that time the disciples came up to Jesus, saying, "Who then is the greatest in the kingdom of heaven?"
Mt 18:2	And calling a child to himself, he had him stand in their midst
Mt 18:3	and said, "Truly I say to you, unless you turn around and become like young children, you will never enter into the kingdom of heaven!
Mt 18:4	Therefore whoever humbles himself like this child, this person is the greatest in the kingdom of heaven,
